"","bromus_lambdaPred","bromus_SDM","bromus_remoteSensing","x","y"
"1",NA,0.767423152923584,5,-119.845833332972,39.5577327663384
"2",NA,0.0785967335104942,NA,-119.262499999635,34.5476059385258
"3",NA,0.231052368879318,NA,-116.504166666286,33.5889294240525
"4",NA,0.231052368879318,NA,-116.504166666286,33.5889294240525
"5",NA,0.508200824260712,NA,-116.470833332952,32.9053513876455
"6",NA,0.142123520374298,NA,-105.262499999554,39.9995575947478
"7",NA,0.142123520374298,NA,-105.262499999554,39.9995575947478
"8",NA,NA,NA,NA,NA
"9",0.504253029823303,0.144255742430687,0,-112.037499999593,46.5935847508206
"10",NA,0.153373777866364,NA,-105.145833332887,40.5414182333632
"11",NA,0.174786642193794,NA,-105.312499999555,39.9995575947478
"12",1.04407107830048,0.0986284837126732,NA,-105.395833332888,41.1749783646673
"13",NA,0.194817125797272,NA,-105.304166666221,40.0162302297822
"14",NA,0.214505180716515,NA,-117.862499999627,34.4142248582513
"15",NA,0.264763921499252,0,-118.295833332963,37.1568733213966
"16",NA,0.0259084552526474,NA,-117.737499999626,48.4692561921814
"17",NA,0.66828054189682,5,-118.9291666663,46.0517241122053
"18",NA,0.294668346643448,0,-119.754166666305,39.5327238137869
"19",NA,0.634185433387756,5,-119.787499999638,39.0825626678603
"20",NA,0.219274699687958,NA,-105.270833332888,39.9662123246792
"21",NA,0.242089360952377,NA,-105.220833332887,40.2496471202626
"22",NA,0.818460941314697,5,-116.670833332954,43.5675014920919
"23",0.352551519870758,0.589007377624512,NA,-113.645833332936,40.9165525216353
"24",NA,0.876778483390808,5,-119.912499999639,39.5577327663384
"25",NA,NA,NA,-97.1541666661743,33.1387682781259
"26",NA,0.568115651607513,0,-119.762499999638,39.4243516860639
"27",NA,NA,NA,-96.5708333328376,33.8140099970158
"28",NA,NA,NA,-96.9624999995065,33.0720777379887
"29",NA,NA,NA,-97.1624999995076,34.1724716502537
"30",NA,0.0339309461414814,NA,-114.062499999605,48.0024224112205
"31",NA,0.388422757387161,3,-107.379166666233,45.5181997911071
"32",NA,NA,NA,-96.8791666661727,32.7552976723366
"33",NA,NA,NA,-97.1208333328407,33.2304677708147
"34",NA,0.622003078460693,0,-121.095833332979,43.9843173679499
"35",NA,0.0989963188767433,NA,-117.062499999622,33.7890010444643
"36",NA,0.0605923384428024,NA,-116.470833332952,33.0970866905401
"37",NA,0.0325779877603054,NA,-116.470833332952,33.1054230080573
"38",NA,NA,NA,-97.4874999995095,32.6552618621307
"39",NA,NA,NA,-97.3541666661754,32.8970150701283
"40",NA,NA,NA,-97.4874999995095,32.7302887197851
"41",NA,NA,NA,-96.8041666661723,33.1887861832289
"42",NA,0.0423027016222477,NA,-106.629166666229,35.0978028946583
"43",NA,0.15490560233593,NA,-118.045833332961,35.3645650552074
"44",NA,NA,NA,-97.4708333328428,35.2228476574157
"45",NA,NA,NA,-97.4708333328428,35.2228476574157
"46",NA,0.0452110506594181,NA,-117.195833332957,36.0481430916144
"47",NA,0.351477146148682,NA,-117.145833332956,34.4308974932856
"48",NA,NA,NA,-97.4874999995095,35.2145113398985
"49",NA,0.0318245552480221,NA,-118.095833332962,35.0227760370039
"50",NA,NA,NA,-97.3791666661756,32.721952402268
"51",NA,NA,NA,-96.9208333328396,32.6635981796479
"52",NA,NA,NA,-96.9374999995063,33.0470687854372
"53",NA,0.0991728454828262,NA,-117.979166666294,35.3395561026559
"54",NA,0.0991728454828262,NA,-117.979166666294,35.3395561026559
"55",NA,0.156011685729027,NA,-118.087499999628,36.5816674127126
"56",NA,0.631623804569244,NA,-116.58749999962,33.2137951357804
"57",NA,NA,NA,-97.4458333328426,35.2228476574157
"58",NA,0.371751129627228,NA,-112.962499999599,37.2569091316025
"59",NA,NA,NA,-95.2541666661633,38.957517905103
"60",NA,NA,NA,-97.4791666661761,35.23952029245
